,PM,BBS
40,1.0728836059570312e-05,0.0005202293395996094
56,1.3828277587890625e-05,0.0006954669952392578
80,3.170967102050781e-05,0.0009579658508300781
128,5.7220458984375e-06,0.0015461444854736328
168,4.363059997558594e-05,0.0020225048065185547
224,8.177757263183594e-05,0.0026760101318359375
256,5.53131103515625e-05,0.0029888153076171875
512,8.96453857421875e-05,0.005930662155151367
1024,0.00014257431030273438,0.01168680191040039
2048,0.00035691261291503906,0.00010848045349121094
4096,0.0007686614990234375,0.023392438888549805
